idpregunta,category,value,question,choice_a,choice_b,choice_c,choice_d,answer,Unnamed: 9
121,Entorno Institucional,200,¿Cuál es la Misión de la Secretaría de la Defensa Nacional?,"Posicionarse como una institución moderna, confiable y tecnológicamente avanzada.","Organizar, administrar y preparar al Ejército y Fuerza Aérea para defender la integridad, la independencia y la soberanía de la nación.",Contribuir al logro de las metas prioritarias establecidas en el Programa Sectorial de Defensa Nacional.,Auxiliar al titular de la Secretaría en asuntos de su competencia en la planeación.,B,
131,Entorno Institucional,300,"¿Qué organismo tiene como objetivo Contribuir al logro de las metas institucionales de la SEDENA mediante la planeación, organización y dirección de los recursos humanos, financieros y materiales que son asignados?",La Subsecretaría.,El Estado Mayor Conjunto de la Defensa Nacional.,La Oficialía Mayor. ,La Dirección General de Administración.,C,
134,Entorno Institucional,300,"De conformidad con la Ley Orgánica de la Administración Pública Federal, una de las atribuciones de la SEDENA es:","Organizar, administrar y preparar al Ejército y la Fuerza Aérea.",Manejar el activo de la Guardia Nacional.,Organizar y preparar el Servicio Militar de Plaza.,Intervenir en los asuntos de la Armada de México.,A,
132,Entorno Institucional,300,"El objetivo de ""Producir material de guerra y proporcionar mantenimiento al armamento, vehículos y equipo militar e industrial"" buscando la independencia tecnológica, corresponde a la:",Dirección General de Fábricas de Vestuario y Equipo.,Dirección General de Materiales de Guerra.,Dirección General de Industria Militar.,Dirección General de Ingenieros.,C,
127,Entorno Institucional,300,"¿Qué órgano técnico operativo es el colaborador inmediato del titular de la Secretaría, a quien auxilia en la planeación y coordinación de los asuntos de la Defensa Nacional?",La Subsecretaría.,La Oficialía Mayor.,La Comandancia del Ejército.,El Estado Mayor Conjunto de la Defensa Nacional.,D,
130,Entorno Institucional,300,"¿Qué organismo tiene como objetivo Contribuir al logro de las metas prioritarias establecidas en el Programa Sectorial de Defensa Nacional mediante la planeación, coordinación y evaluación de los recursos humanos, materiales y financieros?",La Oficialía Mayor.,El Estado Mayor Conjunto de la Defensa Nacional.,La Subsecretaría. ,La Inspección y Contraloría General.,C,
133,Entorno Institucional,300,"¿Qué Dirección General tiene como objetivo Materializar en tiempo y forma el Programa de Producción Anual para satisfacer las necesidades de vestuario y equipo del Ejército, Fuerza Aérea y Guardia Nacional?",Dirección General de Industria Militar.,Dirección General de Intendencia.,Dirección General de Fábricas de Vestuario y Equipo.,Dirección General de Administración.,C,
129,Entorno Institucional,300,"¿Qué Dirección General tiene entre sus funciones la de ""Elaborar y proponer los menús valorados para la alimentación del personal"" del Ejército, Fuerza Aérea y Servicio Militar Nacional?",Dirección General de Sanidad.,Dirección General de Administración.,Dirección General de Intendencia.,Dirección General de Veterinaria y Remonta.,C,
128,Entorno Institucional,300,¿Cuál es el objetivo de la Unidad de Asuntos Jurídicos?,Brindar apoyo legal exclusivo al personal militar imputado.,Coordinar la elaboración de los proyectos de iniciativas de ley.,"Representar legalmente al titular de la Secretaría y Unidades Administrativas, y fungir como consultoría jurídica.",Dirigir la planeación y programación del presupuesto de comunicación social.,C,
140,Entorno Institucional,400,¿Cuál de las siguientes Direcciones Generales se encuentra adscrita a la Oficialía Mayor?,Dirección General de Justicia Militar.,Dirección General del Servicio Militar Nacional.,Dirección General de Veterinaria y Remonta.,Dirección General de Derechos Humanos.,C,
141,Entorno Institucional,400,El Estado Mayor Conjunto (EMC) tiene la función de mantener actualizada la Planeación Estratégica de la Secretaría para hacer frente a:,El desabasto logístico en tiempo de paz.,La corrupción dentro de la Administración Militar.,Los cambios en la estructura orgánica de las Unidades.,Los antagonismos que atenten contra la Seguridad y el Desarrollo Nacionales.,D,
135,Entorno Institucional,400,¿Cuál de los siguientes ordenamientos jurídicos ratifica la competencia y denominación de la Secretaría como Secretaría de la Defensa Nacional?,Ley de Disciplina del Ejército y Fuerza Aérea Mexicanos.,Código de Justicia Militar.,Ley Orgánica de la Administración Pública Federal (1976) y sus reformas.,Ley que crea la Universidad del Ejército y Fuerza Aérea.,C,
137,Entorno Institucional,400,"¿Cuál es el antecedente histórico de la organización militar de México que proviene del pueblo Azteca, por el rico legado de sus instituciones? ",El Ejército de las Tres Garantías.,Las Siete Leyes constitucionales de 1836.,"La organización militar del pueblo Azteca con el ""Tepochcalli"" y ""Calmecac"".",La creación del Ministerio de Guerra y Marina en 1821.,C,
139,Entorno Institucional,400,¿Cuál de las siguientes Direcciones Generales se encuentra adscrita a la Subsecretaría de la Defensa Nacional?,Dirección General de Personal.,Dirección General de Sanidad.,Dirección General del Registro Federal de Armas de Fuego y Control de Explosivos.,Dirección General de Informática.,C,
138,Entorno Institucional,400,¿Qué facultad indelegable corresponde al General Secretario de la Defensa Nacional?,Dirigir el adiestramiento sabatino del personal del Estado Mayor.,Aprobar la adquisición de bienes y servicios mediante el comité.,Aprobar y expedir el Manual de Organización General de la Secretaría.,Presidir el comité técnico del Fideicomiso de Apoyo a Deudos.,C,
142,Entorno Institucional,400,¿Qué función tiene la Dirección General de Comunicación Social relacionada con la difusión? ,Administrar el Sistema de Tiendas y Granjas.,Intervenir en la expedición de licencias para la portación de armas de fuego.,"Fungir como vocería oficial de la Secretaría para informar a la sociedad a través de diversos medios de comunicación (radio, televisión, prensa escrita, portales de internet, redes sociales, etc.).","Planear, coordinar y supervisar las actividades de inteligencia.",C,
136,Entorno Institucional,400,"La Secretaría de Guerra y Marina cambió de denominación a ""Secretaría de la Defensa Nacional"" a través de un Decreto publicado en:",1821,1917,1937,1958,C,
143,Entorno Institucional,500,¿Cuál es el objetivo principal de la Dirección General de Justicia Militar?,Coadyuvar en la conservación de la disciplina militar mediante la investigación de delitos.,"Asistir jurídicamente al personal militar imputado, acusado o sentenciado.","Administrar el recurso humano del Servicio de Justicia Militar, impulsar su desarrollo y sustanciar el procedimiento administrativo de retiro, además de supervisar Prisiones Militares.",Determinar la elaboración de planes para la defensa civil.,C,
146,Entorno Institucional,500,Una de las funciones de la Comandancia del Ejército Mexicano es: ,Asesorar a la Subsecretaría en asuntos de seguridad social.,"Planear, controlar, coordinar, ejercer el mando y evaluar las actividades de las Unidades, Dependencias e Instalaciones del Ejército Mexicano.",Llevar y controlar el Detall General del Ejército y Fuerza Aérea.,Proponer a la Oficialía Mayor la adquisición de maquinaria y equipo industrial.,B,
148,Entorno Institucional,500,"El Comandante de la Fuerza Aérea debe tener, además del grado de General de División de la Fuerza Aérea Piloto Aviador en el activo, una:",Licenciatura en Derecho.,Maestría en Administración Militar para la Seguridad y Defensa Nacionales o su equivalente que se imparte en la Secretaría de Marina.,Maestría en Ciencia y Tecnología.,Título en Ingeniería Aeroespacial.,B,
147,Entorno Institucional,500,"¿Qué Dirección General tiene como función Asesorar Militar y Técnicamente a la o el titular de la Secretaría sobre todo tipo de obras e inmuebles para uso Militar y proponer, planear y ejecutar trabajos de construcción, demolición, ampliación, etc.?",Dirección General de Materiales de Guerra.,Dirección General de Industria Militar.,Dirección General de Ingenieros.,Dirección General de Transportes Militares.,C,
144,Entorno Institucional,500,La Dirección General de Cartografía tiene entre sus funciones:,Desarrollar el Sistema de Información Geográfica Militar para uso exclusivo de la Presidencia.,"Materializar los procesos técnicos y administrativos para la producción del material cartográfico, en papel y digital, para satisfacer las necesidades de la Secretaría.",Elaborar y proponer los menús valorados para la alimentación del personal.,Controlar operativamente a las bandas de música del Ejército.,B,
145,Entorno Institucional,500,Una de las funciones de la Inspección y Contraloría General del Ejército y Fuerza Aérea es:,Aprobar las altas y bajas del personal del Ejército.,"Inspeccionar, supervisar, fiscalizar, auditar y evaluar el personal en aspectos morales, disciplinarios, técnicos, administrativos, presupuestarios y operativos.",Gestionar el uso de las frecuencias para comunicaciones por radio.,Administrar la Justicia Militar mediante la emisión de resoluciones de segunda instancia.,B,
149,Entorno Institucional,500,¿Cuál es el objetivo de la Dirección General del Servicio Militar Nacional (D.G.S.M.N.)?,Administrar y controlar las reservas del Ejército y Fuerza Aérea.,"Planear, Coordinar, Evaluar y supervisar las actividades relacionadas con el Servicio Militar Nacional, desde el reclutamiento hasta la liberación.",Realizar el adiestramiento sabatino para el personal del Estado Mayor.,Proponer reformas a la Ley del ISSFAM.,B,
150,Entorno Institucional,500,¿Cuál de las siguientes es una función de la Dirección General de Veterinaria y Remonta?,Controlar administrativamente al personal del servicio de transportes.,"Llevar a cabo la inspección sanitaria de los alimentos de origen animal, en coordinación con el personal que controla la D.G. Sanidad y la D.G. Intendencia.",Gestionar el uso de frecuencias para comunicaciones.,Proponer planes y proyectos de la Marina.,B,
348,Planeamiento Operacional Conjunto,100,Son las prioridades de inteligencia de la o el Comandante para la operación y direcciona todas las actividades de inteligencia.,Requerimientos de inteligencia prioritarios.,Solicitud de información.,Solicitud de producción.,Requerimiento de información.,A,
344,Planeamiento Operacional Conjunto,100,Normalmente la o el Comandante de la Fuerza Conjunta (JFC) designa personal específico para elaborar la JIPOE de la Fuerza Conjunta. ¿Por quién es dirigido este equipo?,Por el Jefe de la Sección Primera.,Por el Jefe de la Sección Segunda.,Por el Jefe de la Sección Tercera.,Por el Jefe de la Sección Cuarta.,B,
342,Planeamiento Operacional Conjunto,100,"Se define como un proceso analítico y continuo de los ámbitos físicos: tierra, mar, aire y espacio virtual (ciberespacio), del entorno de la información (físico, información y cognitivo), de los sistemas Político, Militar, Económico, Social, Información, e Infraestructura (PMESII), y de todos aquellos aspectos del OE que ejercen directa o indirectamente alguna influencia, que analizados en su conjunto, se obtiene inteligencia de gran valor.",IPB,IPOE,JIPOE,JIPB,C,
345,Planeamiento Operacional Conjunto,100,"Es el área total del Teatro o de la Fuerza de Tarea Conjunta (JTF) como un todo, la cual se divide en Áreas de Operaciones (AO) para los Componentes de la JF.",Entorno operacional.,Área operacional.,Área de operaciones.,Área de interés.,B,
347,Planeamiento Operacional Conjunto,100,"Es el área geográfica adyacente donde eventos políticos, militares, económicos u otros tienen un efecto dentro de un determinado teatro y que también se puede extender a las áreas ocupadas por las fuerzas del adversario que pueden poner en peligro el cumplimiento de nuestra misión.",Entorno operacional.,Área operacional.,Área de operaciones.,Área de interés.,D,
346,Planeamiento Operacional Conjunto,100,Se define en latitud y longitud o se presenta en un mapa/carta para claridad y referencia y normalmente es asignado por el escalón superior.,Entorno operacional.,Área operacional.,Área de operaciones.,Área de interés.,C,
341,Planeamiento Operacional Conjunto,100,"Es el proceso en el cual se analiza al adversario y otros aspectos relevantes del Entorno Operacional (OE) e identifica los posibles Cursos de Acción Enemigos [Enemy Courses of Action (ECOAs)] y proporciona información vital para el Proceso de Planeamiento Operacional [Operational Planning Process (OPP)], la ejecución de las operaciones; así como, para la evaluación de las mismas.",Preparación de Inteligencia del Campo de Batalla,Preparación de Inteligencia del Entorno Operacional.,Preparación de Inteligencia Conjunta del Entorno Operacional.,Preparación de Inteligencia Conjunta del Campo de Batalla,C,
343,Planeamiento Operacional Conjunto,100,Es la persona responsable de coordinar y supervisar la elaboración de la JIPOE y de verificar que contenga todos los aspectos relevantes del OE.,Titular de la Sección Segunda (J-1),Titular de la Sección Segunda (J-2),Titular de la Sección Segunda (J-3),Titular de la Sección Segunda (J-4),B,
355,Planeamiento Operacional Conjunto,200,"Es la parte de la intención del comandante que la o el Comandante vislumbra como el: “a fin de que”, de toda la operación.",Intención del comandante.,Propósito.,Estado final deseado.,Método.,B,
354,Planeamiento Operacional Conjunto,200,"Es la descripción de quien se desempeñe como Comandante respecto a todas las acciones que la fuerza debe realizar para alcanzar el Estado Final Deseado y está basado en el conocimiento del Entorno Operacional (OE), en la comprensión del problema al que se enfrenta y en los objetivos estratégicos planteados por su escalón superior, fundamentándose en su experiencia y conocimientos militares.",Intención del comandante.,Propósito.,Estado final deseado.,Método.,A,
356,Planeamiento Operacional Conjunto,200,"Respecto a la intención del comandante, son las condiciones que deben prevalecer al fin de la operación para dar por logrados los objetivos estratégicos planteados por el escalón superior.",Intención del comandante.,Propósito.,Estado final deseado.,Método.,C,
352,Planeamiento Operacional Conjunto,200,En algunas naciones se le conoce como “Estrategia de Teatro”.,Arte operacional.,Diseño operacional.,Arte y diseño operacional.,Arte operacional combinado con el diseño operacional.,B,
350,Planeamiento Operacional Conjunto,200,"Estas son usadas para solicitar el desarrollo de nuevos estudios, reportes y otros productos de inteligencia.",Requerimientos de inteligencia prioritarios.,Solicitud de información.,Solicitud de producción.,Requerimiento de información.,C,
353,Planeamiento Operacional Conjunto,200,En algunas naciones se le conoce como “Estrategia Operacional”.,Arte operacional.,Diseño operacional.,Arte y diseño operacional.,Arte operacional combinado con el diseño operacional.,A,
351,Planeamiento Operacional Conjunto,200,"Es el empleo creativo de las fuerzas militares para alcanzar un objetivo estratégico u operacional a través del diseño, organización, conducción e integración de estrategias, campañas, operaciones y batallas.",Arte operacional.,Diseño operacional.,Arte y diseño operacional.,Arte operacional combinado con el diseño operacional.,A,
349,Planeamiento Operacional Conjunto,200,"Es un término general que puede ser usado por personal de operaciones u otro, quienes necesiten información de la Sección de Inteligencia u otra organización de inteligencia, concerniente a aspectos de la operación.",Requerimientos de inteligencia prioritarios.,Solicitud de información.,Solicitud de producción.,Requerimiento de información.,B,
359,Planeamiento Operacional Conjunto,300,"Es una metodología que permite conceptualizar en forma gráfica un plan para una campaña u operación mayor, facilitando su entendimiento y direccionando los esfuerzos para alcanzar el Estado Final Deseado.",Arte operacional.,Diseño operacional.,Arte y diseño operacional.,Arte operacional combinado con el diseño operacional.,B,
363,Planeamiento Operacional Conjunto,300,Son las metas amigas que sumadas contribuyen decisivamente al Estado Final Deseado. Se alcanzan cuando se logran una serie de puntos decisivos relacionados secuencialmente entre sí.,Propósitos.,Objetivos.,Metas.,Puntos de desición.,B,
357,Planeamiento Operacional Conjunto,300,"Respecto a la intención del comandante, es la secuencia de acciones u operaciones que la o el Comandante propone, en forma general, para lograr el propósito y el Estado Final Deseado.",Intención del comandante.,Propósito.,Estado final deseado.,Método.,D,
364,Planeamiento Operacional Conjunto,300,"Es la fuente de poder que proporciona a una fuerza, la fortaleza física y moral, la libertad de acción o la voluntad para actuar.",Centro de gravedad.,Objetivo.,Capacidad crítica.,Estado final deseado.,A,
358,Planeamiento Operacional Conjunto,300,"Clarifica la intención de la o el Comandante de la Fuerza Conjunta (JFC) para desarrollar un plan detallado y ejecutable, basado en la comprensión del contexto político y estratégico; así como, en un efectivo encuadramiento del problema.",Arte operacional.,Diseño operacional.,Arte y diseño operacional.,Arte operacional combinado con el diseño operacional.,B,
360,Planeamiento Operacional Conjunto,300,Es la mejor técnica para elaborar el diseño operacional.,Reunión de gabinete.,Discusión dirigida.,Mapa de nodos.,Lluvia de ideas.,D,
362,Planeamiento Operacional Conjunto,300,"Respecto al estado final deseado, se redacta normalmente en pasado participio, a fin de que se pueda emplear como adjetivo y como verbo, como si ya hubiese sido logrado.",Propósito.,Objetivo.,Estado final deseado.,Estado final operacional.,D,
361,Planeamiento Operacional Conjunto,300,"Es a donde se quiere llegar y lo que se debe alcanzar al final de la operación, representa las condiciones político-militares que se han de dar en el OE.",Propósito.,Objetivo.,Estado final deseado.,Estado final operacional.,C,
367,Planeamiento Operacional Conjunto,400,"Son aquellas consideradas como un factor indispensable para que el COG funcione como tal y son esenciales para el cumplimiento de los objetivos, básicamente es la habilidad de hacer algo. Para definirlas se empleará una frase con un verbo asociado con la capacidad.",Factores críticos.,Capacidades críticas.,Requerimientos críticos.,Vulnerabilidades críticas.,B,
372,Planeamiento Operacional Conjunto,400,"Es un lugar geográfico, un evento clave específico, un factor crítico o una función que al ser ejercida, permite a la o el Comandante de la Fuerza Conjunta (JFC) obtener una ventaja considerable sobre un adversario o contribuir materialmente para lograr el éxito.",Punto crítico.,Punto culminante.,Punto o condición decisiva.,Punto de decisión.,C,
370,Planeamiento Operacional Conjunto,400,"Método para determinar un COG en el que se parte de deducir el objetivo que persigue la fuerza analizada, después se determina cuál de sus componentes es capaz de lograr por sí solo ese objetivo. Este método sirve cuando el COG es único o está muy claro.",Eikmeier.,Strange.,Lineal.,Constructivo.,C,
369,Planeamiento Operacional Conjunto,400,Son las vulnerabilidades a que son susceptibles los CRs. Un Centro de Gravedad (COG) se ataca o se protege a través de estos.,Factores críticos.,Capacidades críticas.,Requerimientos críticos.,Vulnerabilidades críticas.,D,
371,Planeamiento Operacional Conjunto,400,"Método para determinar un COG en el que se enuncian todas las CCs, de las cuales se deducen los CRs y se concluyen con las CVs, posteriormente se agrupan todas las capacidades en torno a un COG. Este método ayuda a determinar más claramente cuál es el COG, pero requiere de un mayor tiempo.",Eikmeier.,Strange.,Lineal.,Constructivo.,D,
366,Planeamiento Operacional Conjunto,400,"En este nivel, el COG normalmente es asociado con las capacidades militares (Como un elemento poderoso de las Fuerzas Armadas), pero puede incluir otras capacidades en el Entorno Operacional (OE), y normalmente es físico o tangible.",Estratégico.,Operacional.,Táctico.,Conjunto.,B,
365,Planeamiento Operacional Conjunto,400,"En este nivel, un Centro de Gravedad puede ser la fuerza militar, una alianza, líderes políticos o militares, un conjunto de capacidades críticas o la voluntad nacional, puede ser tangible o intangible.",Estratégico.,Operacional.,Táctico.,Conjunto.,A,
368,Planeamiento Operacional Conjunto,400,"Son aquellas condiciones, recursos o medios que son esenciales para que las Capacidades Críticas (CCs) sean operacionales y en caso de afectarse anularán o degradarán la CC.",Factores críticos.,Capacidades críticas.,Requerimientos críticos.,Vulnerabilidades críticas.,C,
379,Planeamiento Operacional Conjunto,500,"Son opciones que se planean dentro de una misma fase y permiten establecer un puente en caso de que un DP/DC, no se alcance a lo largo de una Línea de Operaciones (LOO).",Enfoque operacional.,Fase.,Ramas.,Secuela.,C,
373,Planeamiento Operacional Conjunto,500,"Momento en el que la o el JFC tiene que tomar una decisión, normalmente se establece cuando hay que cambiar de fase o bien cuando se decide generar una rama o secuela de la operación.",Punto crítico.,Punto culminante.,Punto o condición decisiva.,Punto de decisión.,D,
380,Planeamiento Operacional Conjunto,500,"Es una opción de continuidad prevista desde el inicio de cada fase, en función de los resultados obtenidos de la fase anterior.",Enfoque operacional.,Fase.,Ramas.,Secuela.,C,
376,Planeamiento Operacional Conjunto,500,"Describen la conducta del sistema en el Entorno Operacional (OE) son las condiciones que se relacionan con el logro de los DPs/DCs y a su vez, son el resultado o la consecuencia de una acción o tarea, conjunto de acciones u otro efecto, capaz de influir o condicionar la consecución o no de una determinada evaluación de los efectos y acciones permite determinar el cumplimiento de los DPs/DCs.",Transición.,Tareas.,Efectos.,Acciones.,C,
374,Planeamiento Operacional Conjunto,500,Es la dirección hacia donde se encaminarán las acciones u operaciones. En la elaboración del Diseño Operacional se representa normalmente mediante una flecha que une los diversos DPs/DCs y guían secuencialmente hacia la consecución de un objetivo.,Eje de avance.,Línea de operación.,Línea de esfuerzo.,Eje principal.,B,
378,Planeamiento Operacional Conjunto,500,"Es una franja temporal de una operación que agrupa las acciones, efectos y DPs/DCs, de todas las Líneas de Operaciones/Líneas de Esfuerzos (LOOs/LOEs).",Enfoque operacional.,Fase.,Ramas.,Secuela.,B,
377,Planeamiento Operacional Conjunto,500,"Son las tareas básicas e indivisibles de carácter militar o no, que se le asignan a un mando componente, unidad subordinada o a otras y otros actores militares involucrados en una operación, con el fin de crear un efecto deseado o imposibilitar uno no deseado.",Tareas esenciales.,Tareas.,Efectos.,Acciones.,D,
375,Planeamiento Operacional Conjunto,500,"Es también una línea similar a las Líneas de Operaciones (LOO), pero fuera de la influencia de la o el Comandante de la Fuerza Conjunta (JFC) que coadyuva también al logro del Estado Final Deseado. Usualmente se logran con otras capacidades diferentes a las militares.",Eje de avance.,Línea de operación.,Línea de esfuerzo.,Eje principal.,C,
388,Planeamiento Operacional Conjunto,100,Esta fase se enfoca en llevar a cabo las acciones decisivas que conducirán a la derrota del adversario; su éxito dependerá en la capacidad de la JF para dominar en tiempo y espacio.,Fase 0 (Moldeo).,Fase I (Disuasión).,Fase II (Iniciativa).,Fase III (Dominio).,D,
382,Planeamiento Operacional Conjunto,100,"En otras situaciones, la o el JFC debe enfocar selectivamente una serie de acciones en contra de las CVs del adversario hasta que los efectos acumulados de éstas, lleven al éxito de la misión, a esto se le llama:",Aproximación directa.,Aproximación indirecta.,Aproximación de Eikmeier.,Aproximación de Strange.,B,
384,Planeamiento Operacional Conjunto,100,Son efectos que podrían inhibir el progreso hacia un DP/DC.,Determinantes.,No determinantes.,Deseados.,No deseados.,D,
386,Planeamiento Operacional Conjunto,100,"La intención de esta fase es obligar al personal adversario a tomar acciones favorables a las fuerzas amigas, disuadiendo la acción indeseable del adversario.",Fase 0 (Moldeo).,Fase I (Disuasión).,Fase II (Iniciativa).,Fase III (Dominio).,B,
385,Planeamiento Operacional Conjunto,100,"En esta fase se llevan a cabo acciones militares cotidianas y de rutina, que permitirán a la o el Comandante de la Fuerza Conjunta (JFC), organizarse, moverse al área operacional y facilitar el desarrollo de las siguientes fases.",Fase 0 (Moldeo).,Fase I (Disuasión).,Fase II (Iniciativa).,Fase III (Dominio).,A,
381,Planeamiento Operacional Conjunto,100,"Con frecuencia puede haber casos en donde la potencia de combate de la o el Comandante de la Fuerza Conjunta [Joint Force Commander (JFC)] y otras capacidades serán suficientes para afectar rápidamente el Centro de Gravedad del Enemigo [Enemy Centers of Gravity (ECOG)] con una sola acción, a esto se le llama:",Aproximación directa.,Aproximación indirecta.,Aproximación de Eikmeier.,Aproximación de Strange.,A,
387,Planeamiento Operacional Conjunto,100,"Esta fase implica tomar la iniciativa mediante las primeras acciones de la Fuerza Conjunta (JFC) enfocadas a reducir las capacidades del adversario. La aplicación rápida de la potencia de combate conjunta puede ser necesaria para retrasar, impedir o detener la agresión inicial del adversario y negar sus objetivos.",Fase 0 (Moldeo).,Fase I (Disuasión).,Fase II (Iniciativa).,Fase III (Dominio).,C,
383,Planeamiento Operacional Conjunto,100,Son efectos que se pueden considerar como una condición que sirve de respaldo para lograr DP/DC asociada.,Determinantes.,No determinantes.,Deseados.,No deseados.,C,
392,Planeamiento Operacional Conjunto,200,"En la ofensiva, es el punto en que el ataque no se puede continuar y la fuerza debe considerar pasar a la defensiva o hacer una pausa operacional, ya que en caso de continuar se arriesga a un contraataque y a una derrota.",Punto crítico.,Punto culminante.,Punto o condición decisiva.,Punto de decisión.,B,
393,Planeamiento Operacional Conjunto,200,"En la defensiva, se llega a este punto cuando la fuerza no tiene la capacidad de contraatacar o de defenderse exitosamente.",Punto crítico.,Punto culminante.,Punto o condición decisiva.,Punto de decisión.,B,
394,Planeamiento Operacional Conjunto,200,Es un cese parcial o temporal de las acciones en curso que tiene como objetivo regenerar la capacidad de combate necesaria para retomar la acción y evitar así el punto culminante. La o el JFC debe considerar que esto lleva al riesgo inherente de perder la iniciativa.,Cese operacional.,Punto de cese.,Pausa operacional.,Punto culminante.,C,
396,Planeamiento Operacional Conjunto,200,"Significa mantener el ritmo de las operaciones; es decir, rapidez del movimiento de la fuerza con un alto grado de sincronización, para lograr fracturar el ciclo OODA (capacidad de observar, orientarse, decidir y actuar) del adversario.",Ritmo.,Tempo.,Velocidad de operación.,Rapidez de operación.,B,
390,Planeamiento Operacional Conjunto,200,"Esta fase implica haber generado las condiciones necesarias para que la o el Comandante de la Fuerza Conjunta (JFC) pueda solicitar a su escalón superior el retiro de la Fuerza Conjunta (JF), ya sea total o parcialmente, con la consecuente entrega del área operacional a las autoridades correspondientes.",Fase II (Iniciativa).,Fase III (Dominio).,Fase IV (Estabilidad).,Fase V (Transición).,D,
389,Planeamiento Operacional Conjunto,200,"Esta fase implica asegurar lo ganado durante la fase previa, consolidando objetivos y generando las condiciones que se habían trazado como objetivos operacionales.",Fase II (Iniciativa).,Fase III (Dominio).,Fase IV (Estabilidad).,Fase V (Transición).,C,
391,Planeamiento Operacional Conjunto,200,"Es un punto en el tiempo o en el espacio, en el cual la operación ya no puede sostenerse o bien apoyarse. Se debe evitar que nuestras fuerzas alcancen este punto mediante una pausa operacional.",Punto crítico.,Punto culminante.,Punto o condición decisiva.,Punto de decisión.,B,
395,Planeamiento Operacional Conjunto,200,"Son una herramienta útil para obtener la sincronización adecuada entre el apoyo logístico y las operaciones, generalmente se planifican para regenerar la potencia de combate o aumentar el sostenimiento (Apoyo logístico) de las fuerzas para la siguiente fase, aunque esto dará como resultado, una ampliación en la duración de la campaña.",Ceses operacional.,Puntos de cese.,Pausas operacionales.,Puntos culminantes.,C,
397,Planeamiento Operacional Conjunto,300,"Su desarrollo involucra tres actividades o etapas principales: comprender el Entorno Operacional (OE), delimitar el Problema y desarrollar el Enfoque Operacional.",Proceso de planeamiento operacional.,Diseño operacional.,Preparación de Inteligencia Conjunta del Entorno Operacional.,Enfoque operacional.,B,
402,Planeamiento Operacional Conjunto,300,"Son las relaciones de funciones o de comportamiento entre los nodos, tales como una orden o supervisión de una o un Comandante subalterno, la relación de los vehículos con los combustibles, la ideología que conecta una persona propagandista con un grupo de terroristas. Esto ayuda a entender la importancia relativa de cada nodo y su interacción entre ellos.",Técnica de mapeo de sistemas PMESII.,Enlace.,Análisis PMESII.,Sistema.,B,
